교육,"education, training, schooling"
생명,life (state of being alive and the force that allows you to live); life (period of time something was maintained); life (core of something)
생활,"life (act of living in a place); living (making a living), livelihood; life (act of living while doing a certain job or act)(day to day life (married life/daily life/school life)"
목숨,life (power that allows you to breath and other actions that keep you alive)
일상생활,everyday life
건강,health
나이,age
연세,age (hon.)
살,"years of age (count); flesh, muscle, fat"
동갑,the same age
살,flesh
피,blood
피부,skin
껍질,"skin, bark, peel, nutshell, shell, frame"
가죽,"leather, skin, hide"
몸,"body, body (fundamental part of an object); status (a status or person of such status)"
온몸,entire body
신체,body (formal)
모습,"figure, shape, features, appearance, look (human); trace, track"
외모,appearance (only for people)
모양,"shape, form, state, condition, way; grooming (non-human)"
형태,"form, shape, type, kind(more abstract)"
무늬,"design, pattern, figure"
디자인,design
구석,"corner (inner area of a concave corner); remote place; side, part, point"
코너,"corner; department, section; feature"
키,height (person)
폭,"width, range, scope; piece; deeply, completely"
크기,"size, volume"
길이,"length, distance, duration; forever, permanently"
높이,"height, depth (object); high, highly"
무게,"weight; emphasis, authority"
다이어트,"diet, to go on a diet"
톤,ton (count); tone
주위,"around, the circumference, perimeter; surroundings"
속도,"speed, pace, velocity"
근육,muscle
뼈,"bone; hidden meanings, synopsis; sarcasm;  work one's fingers to the bone"
고개,"head, neck; hill, peak (climax)"
머리,"hair, head"
머리카락,hair
금발,blonde hair
이마,forehead; top
얼굴,face
눈썹,"eyebrow, eyelashes"
눈,"snow, eyeball, graduation, marking"
눈빛,"eyes, look, the look in one's eyes; snow white, white"
시선,"one's eyes, gaze, focused eyes"
이목,"attention, spotlight; eyes"
귀,ear; corner; handle
입,"mouth, lips; appetite, bite"
턱,"chin, jaw; elevated place; feast; treat, entertainment; in a composed manner; (bound) to a degree"
볼,cheek; ball
입술,lips
혀,tongue
수염,"beard, moustache, whiskers"
턱수염,(chin) beard
코,nose; stitch (knitting)
목,neck; throat; voice
어깨,"shoulder; thug, hoodlum"
등,"the back; lamp; grade, class"
가슴,"chest, breasts, heart; front"
품,"bosom, breast; width (of); work, labor; (bound noun) attitude"
심장,the heart (in the body)
팔,arm
주먹,"fist, punch; handful; violence; gang"
손,hand
오른손,right hand
왼손,left hand
손바닥,palm of the hand
손등,back of the hand
맨손,"bare hands; be empty handed, have nothing"
손길,"hand (extended, held, brushed, touched); helping hand; touch, skill"
손가락,finger
지문,fingerprint; text; stage direction
손톱,fingernail
마디,"knuckle, joint, body part; word, verse"
손목,wrist
팔꿈치,elbow
배,stomach/ship/abdomen/pear
허리,waist; middle
다리,leg; bridge
엉덩이,"butt, buttocks"
무릎,knee; lap
발목,ankle
발,"foot, step; shot, round"
발끝,tips of one's toes
굽,heel
표정,facial expression
미소,smile
웃음,"laughter, laugh, giggle, smile"
눈물,tear
울음,crying
콧물,"snot, nasal mucus"
악수,"handshake, shake hands (with)"
숨,"breath, breathing"
한숨,sigh
키수,kiss
기침,cough
감기,cold (sick)
눈병,eye disease
설사,diarrhea; even if/though
증상,symptom
독감,flu
코피,nosebleed
열,"fever, heat; row, line, queue; energy, hard work, effort; anger, rage"
멀미,"nausea, motion sickness"
두통,headache
땀,"sweat, perspiration; stitch (clothes)"
냄새,"odor, smell; mood (atmosphere)"
암내,armpit smell
향기,"scent, fragrance"
기호,"taste, preference (for) (formal instances/less common, think consumer preference); sign, symbol"
입맛,"one's appetite, taste"
맛,taste
침,"saliva, spit; needle, acupuncture; stinger"
소화,"digestion; assimilation, absorb"
정치,politics
외교,diplomacy
선거,election
정략,"political scheme, move, political strategy"
대통령,president
회장,"president, chairman (of many types of groups); hall, venue"
대표,"representative, delegate; representative, delegate"
의원,member of a legislative body; clinic; doctor
정부,"government, administration; lover, mistress"
관리,"administration, management; government official"
관리비,"management expenses, administration costs, maintenance cost"
경영,"(business) management, adminstration"
공무원,"public servant, government employee, public officer"
장관,"minister (government affairs); magnificent sight, grandeur"
대사관,embassy
지구,"Earth, globe; district, zone, area"
세계적,"being global, worldwide, world-class; (determiner) global, worldwide"
세계,"whole world, universe; circle, community (geographical?)"
세상,"the world, society; life (abstract?)"
사회,"society, community, the world"
계급,(social) class; rank (stronger association with job/wealth)
신분,"social position, status; identity"
법,"law, legislation; (bound noun) way, rule, right behavior"
법칙,"law (of...), rule, principle (universal norms you are expected to follow)"
규칙,"rule, regulation"
불법,"illegality, unlawfulness, illegal action"
벌,"punishment, penalty; bee, wasp, hornet; set (of), pair (of); (counter) number of clothes, dishes"
벌금,"fine, penalty"
죄,"crime, sin, blame, guilt"
고소,"accusation, (legal) charge; bitter smile"
응급,emergency
질서,"order, system (enforced by rules)"
평화,peace
자유,"freedom, liberty"
독립,independence
문화,culture
이민,emigration; immigration
전통,"tradition, custom, heritage"
풍습,"custom, manners"
예절,"manners, etiquette (in regards to a specific situation, where you follow procedure)"
예의,"(good) manners, courtesy (general good/polite etiquette)"
한복,Korean dress (traditional)
대중,"the (general) public; being public, being popular; crowd, mass, party"
공중,"public (attached); the air (standlone noun), midair"
인기,popularity; public interest
여권,passport; women's rights
금연,"smoking prohibited, no smoking"
이름,name
성명,"full name; statement, announcement"
제목,"title, name (book etc)"
호칭,"title, name, address"
성,"family name; castle; gender, sex; anger"
세대,"generation; household, family"
성함,(your) name (hon.)
서명,"signature, autograph; book title"
가족,family (people you're related to)
친척,"relatives, extended family"
식구,"family, member of family, live in the same house/eat together"
부모님,parents
자식,"one's children, offspring, descendent"
자녀,"(someone else's) children, sons and daughters, descendant"
보호자,"guardian, protector (responsible for taking care of children or elderly)"
사이,relationship; distance apart
관계,"relationship, connection, being related; sex"
우정,friendship
둘이,"two people, a couple, a pair"
부부,a married couple
신혼부부,newly wed couple
주부,"housewife, homemaker"
이혼,divorce
돈,money
원,Korean currency
달러,dollar
잔돈,"small money, change (money); balance"
거스름돈,change (coins)
동전,(copper) coin
현금,(physical) cash
용돈,"pocket money, allowance, spending money"
내기,"bet, betting, wager"
재산,"property, fortune, wealth, asset"
유산,"inheritance, legacy, heritage; abortion, miscarriage"
문화재,"cultural assets, cultural properties"
수입,"income, earnings, revenue; import"
수출,export
이익,"benefit, profit, gain, interest"
뇌물,bribe; kickback
예금,"deposit, savings"
통장,bankbook
얼마에,price
가격,"price; hitting, striking"
값,"price, cost, value"
물가,"prices (avg market price for goods and services), cost of living; edge of water"
가치,"value, worth"
평가,"appraisal, evaluation, assessment, estimation"
공짜,free (of charge)
무료,"free of charge, complimentary (more formal)"
요금,"charge, fee, fare"
세금,tax
차비,transportation fare
비용,"expense, cost (of something)"
지출,"expense, spend, outgoings, (act of) spending"
계산서,"check, bill (like at a restaurant)"
수표,check (you're writing or receiving)
영수증,receipt
판매,"sale(s), selling"
구매,purchase
매진,"sold out, sellout; striving"
환불,"refund, money back"
보상,compensation; reward
서비스,service
봉사,"(volunteer) service, serve; blind person"
명함,business card
신용카드,credit card
신분증,ID card
월급,monthly salary
임금,"wages, pay (of any kind/formal); king, monarch"
공주,princess; Gong Ju
보험,insurance
건강보험증,health insurance card
회사,"company, corporation (that someone would work at)"
대기업,"large company, major company"
회사원,company employee (office)
직원,"employee, staff member"
계산원,cashier
승무원,"crewman, stewardess"
노동자,"worker, laborer"
근로자,workers
노동,labor; manual labor
인원,"the number of people, personnel, headcount"
사무실,office
과,"department, section, division; lesson, chapter"
직장,"workplace, job, office, company"
공사,construction; public corporation; official and personal affairs
사업,"enterprise, business (act of managing a companies activities); work, service, project, activity"
단체,"organization, association, society; group of people, party"
기업,"enterprise, business, corporation, company (that seek to make profit)"
장사,"business (selling something for profit), trade, commerce, deal; funeral; person of great physical strength"
업체,"company, business (less common)"
직업,"job, career"
하는 일,"job (2), work that you do"
일,"work, job"
백수,"being out of work (nuance of staying at home and being lazy), unemployed; empty hands; all kinds of animals"
업무,"business, job, duty, work, task (that you do as part of a job)"
작업,"work (towards a certain process/for something), operation (formal)"
근무,"work (for/at) as an employee, be at work (formal)"
일거리,"work (that enables you to earn money), things to do, task"
아르바이트,part-time job
본업,"main occupation, day job, primary job"
이력서,"resume, CV"
면접,(job) interview
실장,head of the office; dptmt. head; section chief
과장님,"head of department, chief"
부장,head of department
감독,"supervision; supervisor, director, manager"
사장,"(more common) president of a company, CEO, boss; die out"
책임자,"person in charge, manager (who takes responsibility when something happens)"
상사,"one's boss, superior (workplace); trading firm; seargeant"
사업가,"businessman, entrepreneur"
원장,"director, president (of an institution ending in 원)"
총장,"chancellor (of a university), secretary general"
승진,"promotion (at a job), advancement"
지원자,"applicant, volunteer; supporter"
주인,"owner, employer, landlord"
집주인,"house owner, landlord, landlady"
재벌,"conglomerate, extremely wealthy group"
부동산,"real estate, property, real estate agent"
비서,"secretary, personal assistant"
월차,monthly leave
퇴근,"leave work, get off work"
퇴근시간,closing time
과로,"overwork, working too much, excessive labor"
회의실,"meeting room, conference room"
회의,"(business) meeting, conference; doubt (about), skepticism"
모임,"meeting, gathering, get-together; group, association"
만남,meeting (2 or more parties coming together)
회식,"dining together (among colleagues), group dinner"
그룹,group (people who do something together)
집단,"group, body (interchangeable with 그룹)(group or organization that consists of two or more people)"
조직,"group (with structure and a goal), organization, ring; tissue (group of cells); texture (of cloth)"
공동,"joint, group, collaboration; work together, cooperate"
동아리,"club, society, group"
클럽,"club, society, frat/sorority; club (nightclub); club (golf club)"
부대,"unit, party that acts together, troops, military camp; bag, sack"
행사,"event, function, special occasion; use, exert, invoke, exercise (something)"
출장,business trip; take part in
휴가,"vacation (in general), break, leave"
휴가철,vacation/holiday season
신혼여행,honeymoon
경제,economy
경제적,"financial, economic"
주식,"stocks, shares; staple food in a diet"
무역,"trade, commerce"
시장,market (both senses); mayor
산업,industry
공업,(manufacturing) industry
광고,"advertisement (closer to widely reporting something), commercial; publicity"
장보기,the act of going to a market to buy or sell items
세일,sale (discount)
할인,discount
쇼핑,shopping
가게,"shop, store"
쇼핑센터,shopping center
백화점,department store
편의점,convenience store
제품,"product, manufactured goods"
신제품,new product
품목,"item name, list of goods"
상품,"prize; product, goods, good product"
동료,"colleague, co-worker, peer"
점원,"salesperson, clerk, shop assistant"
손님,"guest, visitor; customer; passenger"
고객,"customer, client"
소비자,consumer
금융,"finance, banking"
은행,bank
은행원,"teller, bank clerk"
우체국,post office
우표,(postage) stamp
치과,"dentist, dental surgery, dentistry, dentist's office"
서점,bookstore
책방,(less common) bookstore
미용실,"beauty parlor, hairdresser's"
약속,appointment; promise
예약,"reservation, booking, appointment"
계약,"contract (with/between), agreement"
약국,pharmacy
약사,pharmacist
식당,"restaurant, cafeteria, diner, dining room"
매점,"snack stand, booth, cafeteria"
한식집,Korean restaurant
중국집,Chinese restaurant
일식집,Japanese restaurant
음식점,restaurant (formal)
카페,cafe; coffee shop
커피숍,coffee shop
다방,"tea room, coffee house"
찻집,teahouse
술집,"bar, pub"
메뉴,menu
종업원,"waiter, waitress, employee, staff, worker"
식사,meal; address (speech)
병원,"hospital, clinic"
의사,"doctor, physician; intention, idea"
간호사,nurse
진찰,"medical examination, checkup (used by the doctor)"
진단,"diagnosis, examination"
약,"drug, medicine; approximately"
알약,"pill, tablet"
의학,"medicine, medical science"
치료,"treatment, cure, remedy, therapy"
붕대,"bandage, dressing"
주사,"injection , shot; drunken frenzy"
수술,"operation, surgery; correction"
병실,"hospital room, patient's room"
대기실,waiting room
휴게실,"lounge, resting room, waiting room"
회원,"member, membership"
회비,"membership fee, subscription, dues"
구독,"subscription, subscribe (to)"
슈퍼마겟,supermarket
장바구니,shopping basket
주유소,gas station
빵집,bakery
제과점,bakery (older sounding)
하숙집,boarding house
경찰서,police station
유치장,"jail, lockup, holding cell (less common)"
감옥,"jail, prison (general place where bad people are locked up)"
이발소,barber shop
박물관,museum
호텔,hotel
여관,"inn, motel"
건물,"building, structure"
빌딩,building (english loan word)
창고,"warehouse, storage"
탑,"tower, pagoda"
결혼식,wedding ceremony
여행사,travel agency
교회,church
목욕탕,bathhouse
찜질방,"Korean dry sauna, spa"
스키장,ski resort
동물원,zoo
전쟁터,battlefield
전쟁,"war, battle; hell"
장례식,funeral
극장,"theater, movie theater"
소극장,small theater
연극,"play, theatrical performance; make-believe"
무대,"stage, arena, set"
영화관,movie theater (only movies)
예고편,"preview, trailer"
매표소,ticket booth
플랫폼,platform
공장,"factory, plant, mill"
시설,"establishment, facilities"
국립,national establishment
농업,"agriculture, the farming industry"
농민,farmer
궁전,palace
화성,Mars
수성,Mercury
목성,Jupiter
금성,Venus
토성,Saturn
경치,"scene, scenery, view (from where you are)"
배경,"background, setting"
관광,"tourism, sightseeing"
관광객,tourist
관광지,tourist attraction (spot)
환경,"environment (nature); environment, situation, condition, circumstances"
철,"iron, steel; season; discretion, (good) sense"
날씨,weather
일기예보,weather forecast
기후,climate
기온,temperature (atmosphere)
온도,(general) temperature
추위,"cold air, cold weather"
번개,lightning
장마,"rainy season, monsoon season, rainy spell"
비,rain
폭풍,"storm, windstorm"
폭풍우,"rainstorm, storm (with heavy rain)"
태풍,typhoon
바람,"wind; dream, desire"
안개,"fog, mist"
구름,cloud
하늘,"the sky, the heavens"
지옥,"hell, nightmare"
불교,Buddhism
우주,"universe, space"
별,"stars (space); star (5 points); particular, specific"
공원,park
인도,"sidewalk; human obligations; transfer, handing over; guidance; India"
놀이터,playground
그네,swings
골목,alley
육교,pedestrian overpass
횡단보도,crosswalk
숲,"forest, woods"
나무,"tree, wood"
소나무,pine tree
단풍나무,maple tree
강,river
호수,lake; number (of house/room)
샘,"spring (water), fountain; jealousy"
분수,fountain; fraction; one's place (state of one's life)
시골,"countryside, rural area; one's home (town)"
바다,"sea, ocean"
바닷가,"beach, seaside"
해안,"coast, seaside, seashore"
해수욕장,swimming beach
바닷물,"seawater, salt water"
파도,"wave; surge (of), impulse"
물결,"wave (smaller like a ripple), tide, flow"
모래,sand
섬,island
산,mountain
화산,volcano
농사,"farming, farm work, agriculture"
농촌,"farm village, farming area, rural area"
밭,"field, farm"
마당,"yard, garden"
정원,"garden; capacity, limit, maximum number of people"
단풍,"tinged autumn leaves, autumn colors"
식물,"plant, vegetation"
꽃,"flower, bloom, blossom"
장미,rose
꽃병,"flower vase, vase"
화분,"flower pot, plant pot"
꽃집,flower shop
집,home
댁,"house, home, family (hon.)"
주택,"house, housing"
자택,one's own house (home)
주민,"resident, inhabitant"
가정,"home, family, household; supposition, assumption, presumption, hypothesis, speculation, suppose, presume"
집안,"home, family, household"
만원,"full house (no space for more people); 10,000 won"
집안일,"housework, housekeeping; family event, household affair, family affair"
가정부,housekeeper
한옥,Korean-style house
이사,moving (houses)
사는 곳,place of living
기숙사,dormitory
아파트,apartment
숙소,"lodging, accomodations (to stay temporarily)"
주소,"address, residence"
벽,wall; characteristic
액자,picture frame
복도,hallway
지붕,roof
옥상,rooftop (flat/that you can stand on)
문,door
뒷문,back door; improper means (to solve a problem)
현관,"front door, entrance"
정문,"the front gate, main entrance (big)"
대문,"gate, front gate"
교문,school gate
손잡이,"handle, knob"
초인종,doorbell
출입,"entry, access (to), going in and out; coming and going"
접속,"access, connection"
창문,window
유리창,glass window
커튼,curtain
계단,"stairs, step"
지하,"underground, basement; the afterlife"
아래층,"downstairs, lower floor"
위층,"upstairs, upper floor"
바닥,"floor, the bottom, ground; area, place; field, business"
마룻바닥,(wood/nicely furnished) floor
천장,ceiling
방,"room, shot, round, punch"
온돌방,room with the Korean floor heating system
침실,"bedroom, room for sleeping"
안방,"master bedroom, main room"
침대,bed
베개,pillow
동침,"sleeping together, sharing a bed"
이불,"comforter, bedding, blanket"
자면서,in one's sleep
자면,when asleep
취침,"going to bed, retiring"
낮잠,nap
잠,"sleep, doze, nap"
노숙,sleep in the open
늦잠,"sleeping late (in the morning), oversleeping"
꿈,dream (while sleeping)
악몽,"bad dream, nightmare"
꿈속,inside a dream
환상,"illusion, fantasy"
욕실,bathroom
화장실,"toilet, bathroom, restroom"
휴지,"toilet paper, tissue; waste paper, scrap paper; pause"
치약,toothpaste
칫솔,toothbrush
비누,soap
물비누,liquid soap
샴푸,shampoo
목욕,bath
욕조,bathtub
싱크대,sink
수건,towel
부엌,kitchen
주방,kitchen (sino)
요리사,"cook, chef"
요리,"cooking, dish"
기름,"(cooking) oil; fat; grease, oil; gas, gasoline"
냉장고,refrigerator
가전제품,electric home appliance
전기밥솥,electric rice cooker
정수기,water purifier
접시,"plate, dish"
반찬,side dish
도시락,"(packed) lunch, box lunch"
냄비,"pot, saucepan"
솥,"iron pot, cauldron"
그릇,"bowl, container; capable, qualified"
도자기,"ceramic ware, pottery"
컵,cup
잔,cup
찻잔,teacup
숟가락,spoon
가구,furniture; household
테이블,table
의자,chair
옷장,"wardrobe, closet"
서랍,drawer
선반,"shelf, rack"
옷걸이,"coat hanger, hanger"
식탁,dining table
탁자,(small) table
소파,"sofa, couch"
다리미,clothes iron
청소,cleaning
청소기,vacuum cleaner
세탁기,washing machine
세탁,"washing (clothes), laundry"
세탁소,"laundry, dry cleaner's"
설거지,dishwashing
쓰레기,"garbage, trash, waste"
쓰레기통,"garbage can, waste basket; litter box"
휴지통,"trash can, wastebasket, recycling bin"
거실,living room
텔레비전,TV
리모콘,remote control
영화,movie
프로그램,"program, show (tv); program (computer)"
방송국,broadcasting station/network
좌석,"seat; audience, crowd"
노약자석,handicapped seating
빈자리,"empty seat, vacant spot"
관객,"audience, spectator"
시청자,"viewer, TV audience"
시청률,(viewer) ratings
채널,channel
박수,"handclapping, applause"
장르,genre
로맨스,"romance, love story"
드라마,drama (show)
사극,"historical drama, historical film"
연기,"performance, acting"
주인공,main character
주연,"main role, lead, star"
배우,"actor, actress"
연기자,"actor, actress (as a profession)"
뉴스,news
소식,"news, news (from people you know); light eating"
신문,newspaper
기사,"news article; driver, chauffeur; engineer"
발표,"announcement, statement, presentation, publish, release"
아나운서,announcer
예고,"advance notice, warning, previous notice"
인터뷰,interview
기자,"reporter, journalist, editor"
보도,"report, coverage (media); sidewalk, pavement"
잡지,"magazine, journal"
인터넷,internet
온라인,online
컴퓨터,computer
노트북,"notebook, laptop"
화면,"screen, monitor (computer), picture"
이메일,email
홈페이지,"website, home page"
이용자,user
전화기,telephone
핸드폰,cell phone
휴대전화,cell phone (formal)
전화,act of calling/using a telephone
공중전화,"public phone, pay phone"
전화번호,phone number
연락처,contact information
수신,"reception (dealing with signals); recipient, act of receiving"
카메라,camera
촬영,"shooting, filming"
비디오,video
녹화,video recording
사진,"picture, photo"
그림,"picture, painting, drawing"
이미지,image; impression
영상,"picture, image, video; temperature above freezing"
장면,"scene, scene in a movie"
작가,author
시인,"poet; admission, acknowledgement"
예술가,artist
화가,"painter, artist"
과학자,scientist
엔지니어,engineer
역사가,historian
환자,"patient (medical), sick person"
군인,"military personnel, soldier"
군대,"army, military, troops"
장군,"general, admiral"
경찰관,police officer
경찰,"police, police officer"
소방관,fireman
형사,"detective, investigator; (criminal) investigation, case"
변호사,"lawyer, attorney"
검사,"prosecutor, district attorney; examination, inspection, check"
검찰,the prosecution
천재,"genius, prodigy; natural disaster"
전문가,"expert, specialist, professional"
프로,"professional, pro"
진국,"genuine person; rich stock, rich broth"
부자,"rich person, person with a lot of something; father and son"
외국인,"foreigner, alien"
적,"enemy, opponent, rival"
상대,"deal with, face each other; someone, partner; opponent, rival, antagonist; comparison"
왕따,"outcast, loner, bullied"
모델,model (both meanings)
도둑,"thief; theft, stealing"
범인,"criminal, culprit, suspect; ordinary person"
강도,"robber, robbery; strength, intensity; solidity"
왕,king
주군,"one's master, king, lord"
천사,angel
날개,wings
꼬리,"tail; last of a group, end"
신부,bride; Catholic priest
목사님,"pastor, minister"
수퍼맨,superman
로봇,robot
팬,"fan (a person), enthusiast, admirer; fan (machine)"
거지,"beggar, bum; being worthless (might be used in a lot of idioms too... not sure)"
기계,"machine, machinery, robot; being machine-like"
기관,"engine; institute, school; organ"
장비,"equipment, gear"
텐트,tent
소포,"parcel, package"
포장,"packing, wrapping, packaging material; covering; paving"
상자,"box, case, bin"
저울,"scale (weighing), balance"
수레,"wagon, cart, wheelbarrow"
잎,"leaf; blade, needle"
칼,knife; sword
총,"gun; (determiner) total (number of something), overall, gross"
가위,scissors
망치,hammer
테이프,tape
빗,comb
젓가락,chopsticks; mouthful
수저,spoon and chopsticks (traditional Korean utensils)
줄,"rope, string; line, queue, row"
줄기,"trunk, stem, cane; stream (of), branch (of), section; streak, beam, column"
실,"thread, yarn; loss; (bound noun) room"
뒷줄,back row
담배,cigarette
중독,poisoning; addiction
인형,"doll, puppet, figure"
시계,"clock, watch; visibility"
열쇠,key
에어컨,air conditioner
가습기,humidifier
유리,"glass; being profitable, beneficial"
고무,"rubber; be encouragement, inspiration, stimulation"
우산,umbrella
부채,"fan, folding fan; debt, liabilities"
복권,"lottery (ticket); reinstatement, restoration"
만화,comic book
라디오,radio
돌,"stone, anniversary"
짐,"load, burden, baggage, cargo"
부담,"burden, load, obligation"
선물,present
기념품,souvenir
장난감,toy
사은품,"free gift, freebie"
배달,"delivery (small scale deliveries, food etc)"
카드,"card; solution, key"
게시판,"bulletin board, notice board, message board (online)"
간판,"sign, store signboard; front, figurehead; background, qualification"
신호,"signal, code, sign"
노크,"knock (on), knocking"
소리,"sound, noise"
불,fire; light
태양,sun; hope
빛,"light, ray, glow; color, tinge, complextion"
햇살,"sunlight, sunshine, sunbeam, heat of the sun (less common)"
햇빛,"sunlight, sunshine, sun; see the light"
어둠,"darkness, the dark"
물,water
물속,"inside water, underwater"
찬물,cold water
강물,river water
빗물,rain water
땅,"the ground; land, territory; bang"
흙,"earth, soil, dirt; ground"
가루,"powder, flour, dust"
바위,rock
금속,metal
금,"gold; line, crack (in)"
황금,"gold (en); money, wealth"
진주,pearl
구멍,"hole, pit, opening; loophole, way out; weakness"
풀,"grass; glue; spirit, heart; pool"
잔디,"grass, lawn, turf"
얼음,ice
눈사람,snowman
그림자,"shadow, silhouette; reflection; trace; ominous feeling; reputation"
그늘,"shade, shadow; care, protection; influence"
더위,the heat
온기,warmth
전자의,electronic
전기,"electricity, electric power; the former part of, early years; turning point; biography"
전원,"electricity supply, socket; countryside, rural areas; all members, everyone"
충격,"shock, impact; shock, jolt"
자리,"room (for), space, opening, place (for something); seat; mat"
공간,"space, room"
제한,"limit (artificial), restriction, constraint"
제약,"restriction (on), limitation (by way of adding conditions), constraint; manufacture of medicines"
몫,"share, portion; role; quotient"
일부,"part, section, portion (?groups); one man"
부분,"part, portion, section (?bigger)"
분야,"field, area, sphere (abstract)"
역할,"role, part"
사투리,dialect
말투,"one's way of talking, style of speech, accent"
토론,"discussion, debate"
얘기,"story; talk, conversation"
목소리,"voice, tone of voice, voice (opinion or assertion)"
음성,voice; negative (sino)
큰소리,"loud voice, shouting; bragging, big talk; complaint"
인사,greetings
사회적,social
진심으로,"sincerely, from one's heart"
농담,joke (words)
메시지,message
댓글,comment
코멘트,"comment, remark"
언급,"mention, reference (talking about a certain matter)"
메모,"memo, note, message"
미국,the United States
나라,"country, nation"
국가,"nation, country, state; national anthem"
국적,"nationality, citizenship"
외국,foreign country
해외,"foreign country, abroad, overseas"
국제,"being international, global"
전국,"the whole country, nationwide"
제국,empire
국기,national flag
깃발,"flag; belief, claim"
국내,"inside country, domestic"
지도,"map, chart; plan, guidance (on)"
지방,"local area, region, district, province; fat; countryside"
지역,"area, region, district, zone"
도시,city
고향,hometown
동네,"neighborhood, village"
이웃,"neighbor, the neighborhood"
마을,"town, village"
민속촌,Folk village
수도,"capital city; water supply (service), sewerage, faucet"
시청,city hall; act of watching
광장,"plaza, square"
시내,"the city, downtown, stream, brook"
여행,"trip, travel"
여행지,(travel) destination
여행용,"for travel, travel"
왕복,"round trip, travel back and forth"
교통,"traffic, transportation; communication, interaction; trade, international exchange"
대중교통,public transportation
신호등,"traffic light, traffic signal"
공항,airport
항공,"aviation, flight (travel)"
비행기,"airplane, plane"
항공권,airline ticket
일등,"first, first class (rank/grade that comes first before others)"
터미널,terminal
지하철,underground train
지하도,"underpass, underground tunnel, subway"
전철,subway (train) (electric)
기차,train (like in train station)
급행열차,express train
역,station (subway); part in a play 
기차역,train station
선로,"train tracks, railroad"
호선,"(bound noun) line (subway); arc, curve"
정류장,"stop, station (bus etc.)"
정거장,"station, stop (bus), x station"
운전,driving
길,"street, road; way (as in someone's way?)"
큰길,main road
도로,"road, street, highway, traffic lane; back (opposite direction one is going), revert; vain effort"
도로변,roadside
고속도로,"expressway, highway"
거리,"distance; street, road"
주차장,"parking lot, parking garage"
사거리,"intersection, crossroads, street corner"
출구,exit
택시,taxi
버스,bus
고속버스,express bus
막차,the last train/bus
직행,"go straight (to), going direct; nonstop, express"
운전사,"driver, chauffeur"
자동차,car
차,car; tea
